news_headline,news_article,news_category
"RCB anchor & comedian Danish Sait marries Anya Rangaswami, shares pics","RCB anchor and comedian Danish Sait took to Instagram to reveal that he got married to Anya Rangaswami. ""[We] exchanged rings...in the presence of 15 of our closest family and friends, following our registered wedding yesterday,"" he wrote. ""Please bless us and send us your love,"" the comedian, who's also the brother of actress Kubbra Sait, added in his post.",sports
"Sometimes, we didn't want to see each other: Prasad on arguments with Kohli, Shastri","Ex-BCCI chief selector MSK Prasad has revealed the selection committee used to have several arguments with Virat Kohli and Ravi Shastri. He added, ""Sometimes, we didn’t want to see each other after meetings, but the beauty of them is that the next morning when we'd meet they'd recognise and acknowledge that there is (merit in the) point we made.""",sports
"James Anderson creates history, becomes most capped Test player for England","Fast bowler James Anderson has become the most capped Test player for England. The ongoing England-New Zealand Test match is the 38-year-old pacer's 162nd Test match. He overtook former England captain Alastair Cook, who retired after playing 161 Test matches. Anderson holds the record for taking the most wickets in Test matches among fast bowlers with 616 wickets so far.",sports
Eng-Pak series not to be broadcast in Pak as Indian company holds rights: Minister,"Pakistan's Minister of Information and Broadcasting Fawad Chaudhry has said the upcoming limited-over series between England and Pakistan won't be broadcast in Pakistan as an Indian company is holding broadcasting rights in South Asia. ""We cannot conduct business with Indian companies,"" he stated. Pakistan Cricket Board (PCB) and PTV will face considerable losses as a result of this, he added.",sports
"Manjrekar's chat with Twitter user goes viral, says 'Jadeja doesn't know English'","A Twitter user shared screenshots of his personal chat with commentator Sanjay Manjrekar, wherein the duo can be seen debating about Manjrekar's opinion about Ravindra Jadeja and Ravichandran Ashwin. Referring to controversy over him calling Jadeja a 'bits and pieces' player, Manjrekar, in the chat said, ""Jadeja doesn't know English...so he didn't know the actual meaning of bits and pieces.""",sports
"Wrestler Sushil asks for protein supplements, exercise bands in jail","Olympic medal-winning wrestler Sushil Kumar, arrested for the murder of a fellow wrestler, has filed a plea in a Delhi court, seeking high-protein food, dietary supplements and exercise bands in jail. The plea has sought supplements like isolate whey protein, omega 3 capsules, multivitamins etc, saying that denial of these basic requirements will have a huge implication on Sushil's career.",sports
"We were 'bloody Indians' to them, now they lick our backsides: Engineer on racism in UK","Referring to racism he faced in England years ago, ex-India wicketkeeper-batsman Farokh Engineer said people used to make fun of his accent. ""We were all 'bloody Indians' to them till a few years ago. Now once...IPL started, they're all licking our backsides,"" he added. ""It amazes me that just because of money, they are licking our boots now,"" Farokh stated. ",sports
Serbian volleyball player suspended for 'slant eye' gesture against Thailand,"Serbian women's national volleyball team player Sanja Djurdjevic has been suspended for two matches after making a racist gesture during a match against Thailand. The 23-year-old was caught on camera narrowing her eyes with her fingers, after which she apologised along with Volleyball Federation of Serbia. International Volleyball Federation (FIVB) has imposed a fine of ₹16 lakh on the federation.",sports
"Despite all the controversies, Greg Chappell taught India how to win: Suresh Raina","Cricketer Suresh Raina has said that despite all the controversies around his coaching career, former Team India head coach Greg Chappell taught the team how to win. ""The fruits of the seeds he had sown were seen much later when we won the 2011 World Cup,"" Raina added. Chappell was Team India's head coach from 2005 to 2007.",sports
Asiad gold medallist boxer Dingko Singh passes away at 42 after battle with cancer,"Former boxer Dingko Singh, who won the 1998 Asian Games gold medal, passed away aged 42 after a four-year battle with liver cancer. Dingko had also contracted coronavirus last year after returning to Manipur from Delhi amid cancer treatment but had recovered. He was conferred with Arjuna Award in 1998 and was presented the Padma Shri Award in 2013.",sports
I was expecting to captain India in 2007 T20 World Cup: Yuvraj Singh,Ex-India all-rounder Yuvraj Singh has revealed he was expecting to captain India in the 2007 T20 World Cup as most of the senior players were not going to feature in the tournament. He added that nobody took the inaugural tournament seriously. He further said MS Dhoni was then named the captain and he supported him as a team man.,sports
"Buttler and Morgan's tweets allegedly mocking Indians resurface, investigation on","The ECB have begun their investigation after tweets posted by Jos Buttler and Eoin Morgan allegedly mocking Indian people resurfaced. Screenshots widely shared include messages like ""I always reply sir no1 else like me like you like me"" from Buttler and ""Sir, you play very good opening batting"" from Morgan. This comes after England suspended Ollie Robinson over racist tweets.",sports
Anderson deletes his 11-year-old tweet calling Broad lesbian over haircut,"In the wake of ECB's crackdown over social media use, James Anderson deleted his 11-year-old tweet containing a homophobic reference. In the tweet from February 2010, Anderson stated that Stuart Broad looked like a 15-year-old lesbian with his new haircut. ""For me...it's 10-11 years ago, I've certainly changed as a person,"" Anderson said on being asked to explain the tweet. ",sports
US eases COVID-19 travel warning to Japan ahead of Olympics,"The United States on Tuesday eased its restrictions against travel to Japan ahead of the Tokyo Olympics. Last month, the US had urged people against travelling to Japan due to a new COVID-19 wave. The Olympic games, which were postponed last year due to the coronavirus pandemic, are scheduled to be held in Tokyo from July 23 to August 8. ",sports
"My form hasn't dipped, it's a matter of a couple of matches: Chahal ","Leg-spinner Yuzvendra Chahal, during an interview, said that his form hasn't dipped in the past year and it's a ""matter of a couple of matches"". ""People have got used to seeing me taking wickets. I've worked hard to reach this level...will [be] back in wicket-taking mode again,"" he added. Chahal picked four wickets in seven games in now-suspended IPL 2021. ",sports
India's campaign ends with Bopanna-Skugor loss in French Open quarters,"Indian tennis player Rohan Bopanna and his Croatian partner Franko Skugor lost 5-7, 3-6 to the Spanish pair of Pablo Andujar and Pedro Martinez in the men's doubles quarter-finals at the French Open on Monday. The unseeded Indo-Croatian pair had received a walkover in the third round on Sunday against Netherlands' Matwe Middelkoop and Marcelo Arevalo of El Salvador.",sports
"Graph is little up and down, but Rahane always steps up: Ex-selector Prasad","Talking about Ajinkya Rahane's form, former Team India chief selector MSK Prasad said that while the ""graph is a little up and down"", Rahane always rises to the occasion when the team is in trouble. ""Rahane is a proven player and his overseas record is far superior to many...We should not be putting unnecessary pressure on him,"" he added. ",sports
I'm backing Pujara to get the highest runs in WTC final: Parthiv Patel,"Ex-India wicketkeeper-batsman Parthiv Patel has backed Cheteshwar Pujara to score the highest runs in the WTC final against New Zealand, beginning June 18. ""If India lose early wickets [and] Pujara bats for three-four hours in this Test match, I think India will be in a very good position,"" Parthiv explained. Pujara was India's second-highest scorer in Australia Tests. ",sports
Ben Stokes likely to return to T20 Blast after 3 years ,"After missing the previous three seasons of the T20 Blast, England all-rounder Ben Stokes will reportedly play his first game in the tournament for Durham next week. Stokes will be making his comeback from the finger fracture he suffered in the IPL. ""Durham have four fixtures...from June 15-20 and he's likely to return in one of them,"" ESPNcricinfo said. ",sports
Delhi court rejects wrestler Sushil's plea for special food in jail,The Rohini Court in Delhi on Wednesday dismissed a petition filed by Olympic medallist wrestler Sushil Kumar seeking high-protein food and dietary supplements in the prison. Kumar has been arrested in connection with the murder of a fellow wrestler. The court said the special food and supplements are not in any manner the essential need or necessity.,sports
Remove him from the country: Dominica as it declares Choksi as prohibited immigrant,"Fugitive Indian diamantaire Mehul Choksi has been declared a prohibited immigrant in Dominica. ""Necessary action be taken to have him removed from here,"" Dominica's National Security & Home Affairs Minister Rayburn Blackmoore said. Choksi had gone missing on May 23 from Antigua and Barbuda where he has been staying as a citizen.",world
Kim Jong-un appears to have lost weight in pictures released by state media,"In new pictures released by state media, North Korean leader Kim Jong-un appears to have lost weight. News outlets compared his old pictures with the pictures released this month amid speculations over his health. Last year, state media released pictures of Kim after Chang Song-min, former aide to the late South Korean President Kim Dae-jung, claimed Kim was in coma.",world
Nun stole ₹6 crore from school for her casino gambling expenses in US,"A retired nun has admitted to stealing $835,000 (₹6 crore) over 10 years from a Catholic school in California for her casino gambling expenses and credit card payments. Sister Mary Margaret Kreuper, 79, who allegedly stole the money while working as the principal of St James Catholic School in Torrance, California, faces up to 40 years in federal prison.",world
Mount Rushmore-style sculpture of G7 leaders made using electronic waste,"Pictures of Mount Rushmore-styled sculpture of G7 leaders that has been made of electronic waste have surfaced online. The sculpture, which depicts leaders including UK PM Boris Johnson and US President Joe Biden, has been erected in Cornwall ahead of G7 Summit and has been named ""Mount Recyclemore"". It aims to highlight the damage caused by disposal of electronic devices.",world
"Russia holds beauty contest for female prison officers, releases pics of 12 finalists","Russia's Federal Penitentiary Service has released pictures of 12 finalists of its Miss Penal System contest, a beauty contest for female prison officers. The finalists, chosen from around 100 contestants who won the local competition in their own region, will receive votes from June 7 to 11. In 2019, National Guard (Rosgvardia) held its own competition – Beauty of Rosgvardia.",world
US to buy 500 mn Pfizer vaccine doses to donate globally: Reports,"US President Joe Biden's administration will buy 500 million doses of Pfizer-BioNTech COVID-19  vaccine to donate to about 100 countries, US media reported. About 200 million doses will reportedly be distributed this year, while 300 million will be distributed in the first half of 2022. Earlier, the Biden administration had said it'd share 80 million vaccine doses worldwide by June-end. ",world
COVID-19 vaccine patent waiver no silver bullet: EU Council Prez,"European Council President Charles Michel said the proposed waiver of intellectual property rights for COVID-19 vaccines and treatments is ""no silver bullet"". India and South Africa had made the proposal at the World Trade Organization (WTO) in October, saying it'd increase vaccine production around the world. Several countries, including US and China, have voiced their support for the proposal.",world
Hong Kong opens COVID-19 vaccination drive to children over 12 ,Hong Kong has said that it'll offer coronavirus vaccines to children over 12 years old from Friday as it seeks to boost immunisation rates in the city. Hong Kong has vaccinated just over 15% of its 7.5 million population so far. Many people in Hong Kong have refused to get the vaccine over government mistrust and fears of side effects. ,world
Hundreds protest in Bahrain after jailed activist dies of COVID-19,Hundreds have held a protest in Bahrain over the death of an activist and vaccinated prisoner from the coronavirus held by the island kingdom. The protesters reportedly shouted that they held King Hamad bin Isa Al Khalifa responsible for Husain Barakat's death. Barakat was reportedly sentenced in 2018 to life imprisonment after being accused of belonging to a terror cell.,world
Sri Lanka requests Japan for 6 lakh doses of COVID-19 vaccine,"Sri Lanka has requested Japan to provide six lakh doses of the AstraZeneca COVID-19 vaccine in order to administer the second dose to its people. A statement from Sri Lankan President Gotabaya Rajapaksa's office said that the request ""has been met with a positive message"". Sri Lanka is currently using China's Sinopharm and Russian Sputnik V COVID-19 vaccines.",world
Nepal halts distribution of Patanjali's Coronil kits: Reports,"Nepal has reportedly halted the distribution of 'Coronil kits' gifted by Baba Ramdev's Patanjali group. Nepal's Department of Ayurveda and Alternative Medicines said the proper procedure wasn't followed while procuring the 1,500 kits that Patanjali claims are useful in dealing with COVID-19 infection. It stated that the nasal kits and tablets are ""not equivalent to medicines to defeat COVID-19"".",world
Delta COVID-19 variant 1st found in India taking hold in Europe: WHO,"The WHO's Europe director warned that the highly transmissible COVID-19 variant first identified in India is ""poised to take hold in the region."" WHO's Dr Hans Kluge said the Delta variant has shown signs of being able to evade some vaccines and warned that many vulnerable populations remain unprotected. He called for vaccination to be stepped up across the continent.",world
"Positive step: China after US drops plan to ban TikTok, WeChat","China's Ministry of Commerce said on Thursday that the US' move to revoke former US President Donald Trump administration's executive orders intended to ban Chinese-owned apps like TikTok and WeChat was a ""positive step in the right direction"". ""We hope that the US will treat Chinese companies fairly and avoid politicising economic and trade issues,"" ministry spokesperson Gao Feng said.",world
China moves rocket to launch pad to send 1st crew to space station,"The rocket that will send the first crew members to China's new space station has been moved onto the launch pad ahead of its planned blastoff next week, the China Manned Space Engineering Office said. China plans to send three astronauts to the space station for three months. They are scheduled to do spacewalks, construction, maintenance work and science experiments.",world
Israeli forces kill 2 Palestinian security men in West Bank raid,"Israeli special forces on Thursday killed an Islamic Jihad militant and two Palestinian security men in an exchange of fire during a raid in the occupied West Bank. Israeli forces had reportedly entered Jenin to detain gunmen suspected of having recently attacked Israeli troops. The Palestinian officers were killed after they reportedly opened fire at the Israelis, witnessing the raid.",world
Canada settles indigenous lawsuit after bodies of 215 kids found,"Canada has reached a proposed settlement with a group of indigenous survivors of now-defunct residential schools for the abuse they suffered, ending a 14-year fight, Crown-Indigenous Affairs Minister Carolyn Bennett said. The government will provide C$10,000 ($8,259) to each survivor involved in lawsuit. This comes weeks after bodies of 215 indigenous children were found at ex-residential school. ",world
"China arrests over 1,100 for crypto-related money laundering","Chinese authorities arrested over 1,100 people suspected of using cryptocurrencies for money laundering. The Public Security Ministry said that by Wednesday afternoon, police had busted more than 170 criminal groups involved in using cryptocurrencies to launder money. China's Payment and Clearing Association said the number of crimes involving the use of virtual currencies is on the rise.
",world
Suu Kyi hit with new corruption charges by Myanmar authorities,"Myanmar authorities have opened new corruption cases against ousted leader Aung San Suu Kyi, state-run Global New Light of Myanmar reported. ""She was found guilty of committing corruption using her rank. So, she was charged under Anti-Corruption Law section 55,"" the paper said. Elected leader Suu Kyi's government was overthrown in a military coup on February 1.",world
Man kills 2 sisters after 'deal with demon' to win lottery in UK,"A 19-year-old man stabbed two sisters to death in the UK after making a deal with the devil to ""sacrifice"" women to win the lottery, a court heard. Police found a handwritten note in Danyal Hussein's house ""purporting to be an agreement between the defendant and a demon"", the prosecutors said. The killings took place on June 6 last year. ",world
Behave if you want jobs: Nigerian President tells youth,"Nigerian President Muhammadu Buhari told his country's youth that they must behave to attract jobs and investment. ""Nobody is going to invest in an insecure environment. If they want jobs, they will behave themselves,"" Buhari spoke on Arise TV. ""Make sure that the area is secure. So that people can come in and invest,"" he added.",world
"Nikhil reacts to Nusrat's statement on 'invalid' marriage, says filed for annulment","Kolkata-based businessman Nikhil Jain said that he has filed for an annulment of his marriage with actress-turned-politician Nusrat Jahan. ""These are legalities, I don't really want to comment on anything she's said because the matter is sub judice in court,"" Nikhil added. This comes after Nusrat said their marriage was ""invalid"" in India and that their ""separation happened long back"".",politics
"If girlfriend leaves you for your rival, don't blame her: Jha after Jitin joins BJP","After senior Congress leader Jitin Prasada joined BJP on Wednesday, former Congress spokesperson Sanjay Jha tweeted, ""If your girlfriend walks out on you with your best rival, look in the mirror. Don't blame her."" Earlier, he tweeted that Prasada is ""BJP's gain, Congress's loss"". Prasada was part of the group of 23 Congress leaders who had sought reforms in Congress.",politics
"MP Cong compares Jitin Prasada to 'garbage', deletes tweet later","Hours after former Union Minister Jitin Prasada joined the BJP, the Madhya Pradesh unit of Congress tweeted that his exit is like a ""normal process of throwing garbage in dustbin"".  It also said that Congress party is ""happy"" at his leaving. The tweet was later deleted from the official handle of the Madhya Pradesh Congress.",politics
"BJP received ₹750cr in donations in 2019-20, 5 times more than Congress: Report","BJP received around ₹750 crore in political donations from companies and individuals in 2019-20, The Indian Express reported citing the party's contribution report submitted to the Election Commission. This is over five times more than what Congress received (₹139 crore), according to the report. The Indian Express further reported that NCP got ₹59 crore in donations in the same period.",politics
India will have 200 crore COVID-19 vaccine doses by Dec: JP Nadda,"BJP President JP Nadda said that the country will have 200 crore COVID-19 vaccine doses by December 2021. ""The preparation of the Government of India to combat COVID-19 is commendable,"" Nadda added. ""At the beginning of the campaign, only two companies were making vaccines. By December, 19 companies will be making vaccines in India,"" he further said.",politics
Those without internet also have right to life: Rahul on vaccination,"Congress leader Rahul Gandhi on Thursday said every person walking into a COVID-19 vaccination centre should get the vaccine. ""Online registration is not enough for the vaccine...Those who do not have access to internet also have the right to life,"" Gandhi tweeted in Hindi. Congress has also been demanding that registration on Co-WIN shouldn't be mandatory for getting the vaccine.
",politics
Jitin Prasada's future safe in BJP: Rebel Congress MLA Aditi Singh,"Rebel Congress MLA Aditi Singh on Wednesday said that former Union Minister Jitin Prasada's exit was a great loss for the party and that his future is secure in BJP. Singh added, ""Congress should think what could be the reason that such big leaders are leaving the party."" Prasada joined BJP on Wednesday in presence of Union Minister Piyush Goyal.",politics
It's a murder: BJP's Ram Kadam blames BMC for building collapse,"Maharashtra BJP MLA Ram Kadam said Shiv Sena-led Brihanmumbai Municipal Corporation's (BMC) negligence led to the collapse of the residential building in Malad West, claiming 11 lives. ""In Malad [West]...11 people died due to the destruction of the house. This occurred due to Shiv Sena-ruled BMC's negligence. It's not an accident, it's a murder,"" Kadam tweeted.",politics
Floods have become a norm: AAP criticises BMC over Mumbai rains,"As heavy rains affected several parts of Mumbai triggering waterlogging, Aam Aadmi Party (AAP) on Wednesday criticised Brihanmumbai Municipal Corporation (BMC) saying that ""floods have become the norm rather than an exception"". ""The floods speak volumes of BMC's so-called monsoon preparedness,"" tweeted AAP's Ruben Mascarenhas. The IMD issued a red alert for Mumbai on Wednesday.",politics
"Prasada was never ignored in Congress, we gave him respect: Kharge","Senior Congress leader Mallikarjun Kharge said ex-Congress leader Jitin Prasada, who joined BJP on Wednesday, ""wasn't ignored"" in the party. ""We gave him respect...He was the General Secretary, Bengal in-charge...was allowed to contest every time. Despite this, if he blames Congress and its ideology for which he and his father [late Congress leader Jitendra Prasada] worked, it's sad,"" he added.",politics
Shiromani Akali Dal to hold dharna at Punjab CM's residence on June 15,Shiromani Akali Dal (SAD) has announced that it would hold a symbolic dharna at Punjab CM Captain Amarinder Singh's official residence on June 15 demanding Health Minister Balbir Singh Sidhu's immediate dismissal. SAD will also demand a CBI probe into vaccine and Fateh kit scams. Party leader Daljit Singh Cheema said SAD President Sukhbir Singh Badal would lead the dharna.,politics
Anything can happen any time: BJP as Pilot said his issues weren't resolved,"Rajasthan BJP on Wednesday reacted to Congress MLA Sachin Pilot's remarks that the Congress' central committee hasn't addressed grievances raised by him and other party MLAs even after 10 months. State BJP MLA Rajendra Rathore said, ""Anything can happen any time."" He added, ""Only time will tell when this spark will ignite an explosion.""",politics
Cong panel holds meeting to resolve issues between Punjab CM-Sidhu ,"The three-member Congress panel formed to resolve the differences between Punjab CM Captain Amarinder Singh and Navjot Singh Sidhu met on Wednesday. The meeting was held ahead of submitting the report on the factionalism in Punjab Congress to party chief Sonia Gandhi. The panel consists of senior Congress leaders Mallikarjun Kharge, Harish Rawat and JP Aggarwal.",politics
He's like my brother: Scindia welcomes ex-Cong leader Prasada to BJP,"After former Congress leader Jitin Prasada joined the BJP on Wednesday, party leader Jyotiraditya Scindia welcomed him and said Prasada is like his ""younger brother"". ""I welcome him to BJP. I congratulate him,"" Scindia added. ""I started feeling in the Congress that there is no point if you cannot be present for the people,"" Prasada said after quitting Congress.",politics
Posters blaming Palaniswami for AIADMK poll defeat surface in TN,"Posters blaming AIADMK coordinator and former CM Edappadi K Palaniswami for the recent Assembly elections defeat have surfaced in Tamil Nadu's Tirunelveli. The poster in Tamil roughly translates as, ""Do not take any decision without consulting coordinator O Panneerselvam, who was identified as the leader for party matters by Amma. We lost elections since we did not listen to him.""",politics
Like over my dead body: Sibal on if he would join BJP like Prasada,"A day after former Union Minister Jitin Prasada's exit, Congress leader Kapil Sibal said, ""We're true Congressmen, never in my life will I think of joining BJP, like over my dead body."" This comes after Prasada joined BJP. Sibal added, ""It could be that if Congress leadership informs me to leave, I may think of leaving party on that basis.""",politics
PM Modi's leadership brought development to North East: Nadda,"Speaking at the virtual inauguration of a party office in Arunachal Pradesh, BJP President JP Nadda on Thursday said that PM Narendra Modi's leadership had brought development to North East. ""North East was earlier known for extremism, blockades, drugs, arms trafficking, corruption, and communal tensions,"" but PM Modi's Act East campaign has brought development to the region, Nadda said. ",politics
My priority is public service: Scindia on portfolio in Union Cabinet,"BJP leader Jyotiraditya Scindia, who quit Congress to join BJP in 2020, addressed reports of him getting a portfolio in the Union Cabinet. ""My priority is public service and continuing on that ideology, I followed the footsteps of my father and grandfather,"" he added. Scindia stated that ""post or no post"", he will continue to serve people.",politics
Had detailed discussion with PM on Bengal for 45 minutes: Suvendu,"BJP's Suvendu Adhikari met Prime Minister Narendra Modi in Delhi on Wednesday and discussed issues concerning West Bengal for 45 minutes, the Nandigram MLA revealed. ""Blessed to meet...honourable PM. I thank him for his precious time spared for me,"" Adhikari, who is the Leader of Opposition in Bengal Assembly, tweeted. He met Home Minister Amit Shah on Tuesday. ",politics
Posters in Bengal claim BJP's Rajib Banerjee is not welcome in TMC,"Amid speculations that BJP leader Rajib Banerjee could re-join TMC, posters were installed at Domjur, Howrah, claiming that he isn't welcome in the party. ""Rajib Banerjee is corrupt and a traitor. We urge the...leadership that he shouldn't be taken back,"" a local TMC worker told PTI. Supporting TMC, Rajib earlier said citizens wouldn't take threats of President's Rule lightly.",politics
